Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,X,Y,Xcoord,Ycoord
A,,,,,,"-1","0","-1",,,,,89.929055309513,23.1338607343954
F,,,,,,"-1","0","-1",,,,,89.2249714383972,21.8428060500325
G,,,,,,"-1","0","-1",,,,,89.2961181692235,24.5964568235566
F,,,,,,"-1","0","-1",,,,,89.1270563401376,21.9654336596083
F,,,,,,"-1","0","-1",,,,,89.3024241850371,21.9489821034518
W,,,,,,"-1","0","-1",,,,,89.3290197648819,21.7763629152896
F,,,,,,"-1","0","-1",,,,,89.4055947077222,21.8605411156374
S,,,,,,"-1","0","-1",,,,,89.4725315229491,21.9749195064287
W,,,,,,"-1","0","-1",,,,,89.4902999015877,21.8386
S,,,,,,"-1","0","-1",,,,,89.4411976094629,21.7238265294686
F,,,,,,"-1","0","-1",,,,,89.5901749638522,21.836306515516
H,,,,,,"-1","0","-1",,,,,89.6010862618528,21.7244080290043
W,,,,,,"-1","0","-1",,,,,89.6804170057509,21.8733322301286
G,,,,,,"-1","0","-1",,,,,89.7822051737987,21.8549371203882
F,,,,,,"-1","0","-1",,,,,89.7141217759658,21.9754516246577
W,,,,,,"-1","0","-1",,,,,89.5918713363737,22.0275421797174
S,,,,,,"-1","0","-1",,,,,89.3911590151075,22.0790575189476
F,,,,,,"-1","0","-1",,,,,89.2161452225806,22.0611486866589
G,,,,,,"-1","0","-1",,,,,89.0534812017318,22.0719384214053
W,,,,,,"-1","0","-1",,,,,89.1282455536337,22.1464129214983
F,,,,,,"-1","0","-1",,,,,89.5218945104508,22.135607633201
F,,,,,,"-1","0","-1",,,,,89.2651474849534,22.1488956682702
F,,,,,,"-1","0","-1",,,,,89.6879870244228,22.0769888592739
F,,,,,,"-1","0","-1",,,,,89.8243605075461,22.0101085240002
W,,,,,,"-1","0","-1",,,,,90.0083868590066,21.963192960464
H,,,,,,"-1","0","-1",,,,,89.9744667604207,22.0982464485682
G,,,,,,"-1","0","-1",,,,,89.8853035708104,22.1210356582273
H,,,,,,"-1","0","-1",,,,,89.1898283890364,22.2553384167631
F,,,,,,"-1","0","-1",,,,,89.4257555279713,22.251977916994
A,,,,,,"-1","0","-1",,,,,89.2926650604481,22.3420120266688
