Name,class,LC,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,snippet,xcoord,ycoord,zcoord
A1,Agriculture,3,,,,-1,0,-1,,,,75.13793112,24.85196778,0
A10,Agriculture,3,,,,-1,0,-1,,,,76.95584902,24.43764263,0
A100,Agriculture,3,,,,-1,0,-1,,,,74.99771628,24.05848954,0
A101,Agriculture,3,,,,-1,0,-1,,,,75.13531839,23.98938431,0
A102,Agriculture,3,,,,-1,0,-1,,,,75.19368065,23.92859342,0
A103,Agriculture,3,,,,-1,0,-1,,,,75.00463772,23.92420724,0
A104,Agriculture,3,,,,-1,0,-1,,,,75.50492862,23.83212084,0
A105,Agriculture,3,,,,-1,0,-1,,,,75.54134809,23.83499682,0
A106,Agriculture,3,,,,-1,0,-1,,,,75.4728012,23.87719053,0
A107,Agriculture,3,,,,-1,0,-1,,,,75.00455926,23.8049677,0
A108,Agriculture,3,,,,-1,0,-1,,,,75.09271918,23.80533874,0
A109,Agriculture,3,,,,-1,0,-1,,,,75.00894163,23.6716833,0
A11,Agriculture,3,,,,-1,0,-1,,,,76.88623609,24.39318733,0
A110,Agriculture,3,,,,-1,0,-1,,,,74.99056977,23.62527377,0
A111,Agriculture,3,,,,-1,0,-1,,,,75.13922517,23.60196953,0
A112,Agriculture,3,,,,-1,0,-1,,,,74.91717538,23.55788157,0
A113,Agriculture,3,,,,-1,0,-1,,,,74.91789808,23.60010206,0
A114,Agriculture,3,,,,-1,0,-1,,,,74.73621035,23.47002799,0
A115,Agriculture,3,,,,-1,0,-1,,,,74.66554311,23.46862414,0
A116,Agriculture,3,,,,-1,0,-1,,,,74.80120108,23.49401115,0
A117,Agriculture,3,,,,-1,0,-1,,,,74.90946457,23.47456474,0
A118,Agriculture,3,,,,-1,0,-1,,,,74.97992793,23.4610545,0
A119,Agriculture,3,,,,-1,0,-1,,,,75.07429361,23.47276101,0
A12,Agriculture,3,,,,-1,0,-1,,,,76.84523807,24.34851778,0
A120,Agriculture,3,,,,-1,0,-1,,,,75.49638923,24.174472,0
A121,Agriculture,3,,,,-1,0,-1,,,,75.61408084,23.74104118,0
A122,Agriculture,3,,,,-1,0,-1,,,,75.59545682,23.78910988,0
A123,Agriculture,3,,,,-1,0,-1,,,,75.59818578,23.79930027,0
A124,Agriculture,3,,,,-1,0,-1,,,,75.60465917,23.79621923,0
A125,Agriculture,3,,,,-1,0,-1,,,,75.4731612,23.77941951,0
A126,Agriculture,3,,,,-1,0,-1,,,,75.3929431,23.73754984,0
A127,Agriculture,3,,,,-1,0,-1,,,,75.27924179,23.59923806,0
A128,Agriculture,3,,,,-1,0,-1,,,,75.37071998,23.54615584,0
A129,Agriculture,3,,,,-1,0,-1,,,,75.34880399,23.47463469,0
A13,Agriculture,3,,,,-1,0,-1,,,,76.88365265,24.35289449,0
A130,Agriculture,3,,,,-1,0,-1,,,,75.35378138,23.48722269,0
A131,Agriculture,3,,,,-1,0,-1,,,,75.3139507,23.472144,0
A132,Agriculture,3,,,,-1,0,-1,,,,75.30879273,23.45776239,0
A133,Agriculture,3,,,,-1,0,-1,,,,75.29966264,23.52665201,0
A134,Agriculture,3,,,,-1,0,-1,,,,75.55486544,23.46230179,0
A135,Agriculture,3,,,,-1,0,-1,,,,75.5197958,23.45589931,0
A136,Agriculture,3,,,,-1,0,-1,,,,75.61217689,23.52416194,0
A137,Agriculture,3,,,,-1,0,-1,,,,75.57246429,23.50783615,0
A138,Agriculture,3,,,,-1,0,-1,,,,75.55972944,23.51478981,0
A139,Agriculture,3,,,,-1,0,-1,,,,75.53084015,23.50692039,0
A14,Agriculture,3,,,,-1,0,-1,,,,76.8813377,24.33406958,0
A140,Agriculture,3,,,,-1,0,-1,,,,75.47595654,23.55950124,0
A141,Agriculture,3,,,,-1,0,-1,,,,75.56525592,23.61916874,0
A142,Agriculture,3,,,,-1,0,-1,,,,75.4319262,23.63459658,0
A143,Agriculture,3,,,,-1,0,-1,,,,75.51178361,23.7231356,0
A144,Agriculture,3,,,,-1,0,-1,,,,75.70967928,23.89418026,0
A145,Agriculture,3,,,,-1,0,-1,,,,75.70249663,23.88906238,0
A146,Agriculture,3,,,,-1,0,-1,,,,75.75315252,23.85304453,0
A147,Agriculture,3,,,,-1,0,-1,,,,75.72693515,23.89119168,0
A148,Agriculture,3,,,,-1,0,-1,,,,75.73065686,23.87669926,0
A149,Agriculture,3,,,,-1,0,-1,,,,75.7245342,23.8390088,0
A15,Agriculture,3,,,,-1,0,-1,,,,76.99224408,24.4055564,0
A150,Agriculture,3,,,,-1,0,-1,,,,75.41447164,24.14302689,0
A151,Agriculture,3,,,,-1,0,-1,,,,75.29323083,24.25423936,0
A152,Agriculture,3,,,,-1,0,-1,,,,75.30313087,24.27117559,0
A153,Agriculture,3,,,,-1,0,-1,,,,75.73867229,23.48790497,0
A154,Agriculture,3,,,,-1,0,-1,,,,75.62535608,23.48537106,0
A155,Agriculture,3,,,,-1,0,-1,,,,75.61949878,23.45921011,0
A156,Agriculture,3,,,,-1,0,-1,,,,75.59769035,23.45205225,0
A157,Agriculture,3,,,,-1,0,-1,,,,75.83343632,23.75377267,0
A158,Agriculture,3,,,,-1,0,-1,,,,75.79919008,23.75575694,0
A159,Agriculture,3,,,,-1,0,-1,,,,75.73535145,23.7867353,0
A16,Agriculture,3,,,,-1,0,-1,,,,76.98768371,24.44591422,0
A160,Agriculture,3,,,,-1,0,-1,,,,75.67015576,23.75690171,0
A161,Agriculture,3,,,,-1,0,-1,,,,75.68707788,23.72017212,0
A162,Agriculture,3,,,,-1,0,-1,,,,76.30940645,24.11733746,0
